"Center for Agricultural and Rural Development (CARD), www.card.iastate.edu, Iowa State University, Ames, Iowa",,,,,,
,,,,,,
Date,Ethanol Price ($/gallon),Corn Price ($/bushel),Natural Gas Price ($/mmBtu),Return Over Operating Costs ($/gallon),Net Cost of Corn ($/gallon),Other Operating Costs ($/gallon)
1/5/2007,2.3375,3.44078125,8.184705882,0.980434254,0.844263393,0.512802353
1/8/2007,2.442,3.071,8.378705882,1.177021229,0.747132418,0.517846353
1/9/2007,2.362,3.1285,8.631705882,1.076454263,0.761121384,0.524424353
1/10/2007,2.232,3.291,8.755705882,0.903696229,0.800655418,0.527648353
1/11/2007,2.222,3.491,8.292705882,0.857076957,0.84931269,0.515610353
1/12/2007,2.272,3.556,8.601705882,0.883229343,0.865126304,0.523644353
1/16/2007,2.227,3.65125,8.638705882,0.784561413,0.917832234,0.524606353
1/17/2007,2.176,3.69375,8.234705882,0.733381984,0.928515663,0.514102353
1/18/2007,2.107,3.63875,8.324705882,0.675867598,0.914690049,0.516442353
1/22/2007,1.936,3.6744375,9.319705882,0.484815203,0.908872444,0.542312353
1/23/2007,1.956,3.7219375,9.597705882,0.485838074,0.920621573,0.549540353
1/24/2007,1.996,3.6394375,9.421705882,0.550820456,0.900215191,0.544964353
1/25/2007,2.006,3.7019375,8.905705882,0.558777076,0.915674572,0.531548353
1/26/2007,2.006,3.6869375,9.175705882,0.555467327,0.91196432,0.538568353
1/29/2007,2.011,3.6319375,8.917705882,0.580779582,0.898360065,0.531860353
1/30/2007,2.051,3.6794375,9.740705882,0.587632453,0.910109195,0.553258353
1/31/2007,2.046,3.6719375,9.667705882,0.586385578,0.908254069,0.551360353
2/1/2007,1.765,3.683375,9.374789474,0.295694895,0.925560579,0.543744526
2/2/2007,1.78,3.723375,9.320789474,0.302047672,0.935611802,0.542340526
2/5/2007,1.84,3.723375,9.478789474,0.357939672,0.935611802,0.546448526
2/6/2007,1.81,3.668375,9.460789474,0.342228103,0.921791371,0.545980526
2/7/2007,1.81,3.625875,9.553789474,0.350489527,0.911111946,0.548398526
2/8/2007,1.795,3.627375,9.715789474,0.325157745,0.917231728,0.552610526
2/9/2007,1.825,3.692375,9.671789474,0.3398656,0.933667874,0.551466526
2/12/2007,1.795,3.677375,9.070789474,0.329284557,0.929874917,0.535840526
2/13/2007,1.815,3.739875,9.211789474,0.329814571,0.945678903,0.539506526
2/14/2007,1.815,3.712375,9.085789474,0.340044325,0.938725149,0.536230526
2/15/2007,1.88825,3.74,9.136789474,0.390714222,0.959979252,0.537556526
2/16/2007,1.90625,3.835,9.321789474,0.379519722,0.984363752,0.542366526
2/20/2007,1.90125,3.8175,9.429789474,0.376203603,0.97987187,0.545174526
2/21/2007,1.91625,3.9275,9.490789474,0.361382919,1.008106554,0.546760526
2/22/2007,1.94505,4.092625,9.571789474,0.328156957,1.068026517,0.548866526
2/23/2007,1.92205,4.050125,9.599789474,0.315519914,1.05693556,0.549594526
2/26/2007,1.98205,4.002625,9.391789474,0.393323689,1.044539785,0.544186526
2/27/2007,2.04205,3.857625,9.377789474,0.491527424,1.00670005,0.543822526
2/28/2007,2.04005,4.000125,9.144789474,0.458398098,1.043887375,0.537764526
3/1/2007,2.034,3.994,9.346409091,0.464748268,1.026245096,0.543006636
3/2/2007,2.049,3.9315,9.301409091,0.496977436,1.010185928,0.541836636
3/5/2007,2.074,3.994,9.312409091,0.505632268,1.026245096,0.542122636
3/6/2007,1.969,3.9465,9.530409091,0.407169236,1.014040128,0.547790636
3/7/2007,2.074,3.979,9.424409091,0.506574468,1.022390896,0.545034636
3/8/2007,2.155,4.103,9.297409091,0.553917687,1.059349677,0.541732636
3/9/2007,2.065,4.0655,9.141409091,0.477655776,1.049667587,0.537676636
3/12/2007,2.115,3.9805,8.970409091,0.554047846,1.027721518,0.533230636
3/13/2007,2.165,3.953,8.950409091,0.611668045,1.020621319,0.532710636
3/14/2007,2.155,4.0305,9.141409091,0.576692393,1.04063097,0.537676636
3/15/2007,2.195,3.677,9.017409091,0.738914515,0.921632849,0.534452636
3/16/2007,2.195,3.6945,8.982409091,0.735438174,0.926019189,0.533542636
3/19/2007,2.205,3.6795,8.905409091,0.751199895,0.922259469,0.531540636
3/20/2007,2.18,3.752,8.968409091,0.706389912,0.940431452,0.533178636
3/21/2007,2.175,3.797,9.218409091,0.68361075,0.951710613,0.539678636
3/22/2007,2.253928571,3.816571429,9.378409091,0.750850318,0.959239617,0.543838636
3/23/2007,2.253928571,3.754071429,9.327409091,0.767884783,0.943531153,0.542512636
3/26/2007,2.283928571,3.631571429,9.312409091,0.829063373,0.912742563,0.542122636
3/27/2007,2.253928571,3.646571429,9.561409091,0.788819341,0.916512594,0.548596636
3/28/2007,2.208928571,3.606571429,9.616409091,0.752442758,0.906459177,0.550026636
3/29/2007,2.223928571,3.666571429,9.667409091,0.75252049,0.920055445,0.551352636
3/30/2007,2.148928571,3.466571429,9.788409091,0.724560636,0.869869299,0.554498636
4/2/2007,2.2205,3.267875,8.62185,0.885472124,0.810859776,0.5241681
4/3/2007,2.1665,3.182875,8.37685,0.858933225,0.789768675,0.5177981
4/4/2007,2.1465,3.312875,8.46585,0.804362247,0.822025653,0.5201121
4/5/2007,2.1265,3.380375,8.55785,0.765221432,0.838774468,0.5225041
4/9/2007,2.0532,3.3145,8.49685,0.692207865,0.840074035,0.5209181
4/10/2007,2.0932,3.3695,8.81985,0.709869883,0.854014017,0.5293161
4/11/2007,2.1642,3.287,8.80585,0.802143857,0.833104043,0.5289521
4/12/2007,2.2072,3.267,8.87485,0.848418941,0.828034959,0.5307461
4/13/2007,2.1322,3.3695,8.75185,0.750637883,0.854014017,0.5275481
4/16/2007,2.195,3.363,8.48085,0.813628338,0.860869562,0.5205021
4/17/2007,2.167,3.253,8.36885,0.816698427,0.832711473,0.5175901
4/18/2007,2.183,3.3555,8.44785,0.804406208,0.858949692,0.5196441
4/19/2007,2.148,3.433,8.44285,0.749697555,0.878788345,0.5195141
4/20/2007,2.102,3.3255,8.33185,0.734101687,0.851270213,0.5166281
4/23/2007,2.1575,3.251666667,8.51285,0.793180076,0.842985824,0.5213341
4/24/2007,2.1935,3.334166667,8.54885,0.806856174,0.864373726,0.5222701
4/25/2007,2.2295,3.441666667,8.63985,0.812621088,0.892242812,0.5246361
4/26/2007,2.1975,3.376666667,8.45885,0.802178163,0.875391737,0.5199301
4/27/2007,2.1685,3.371666667,8.78185,0.7660764,0.8740955,0.5283281
4/30/2007,2.1695,3.309166667,8.81385,0.782447356,0.857892544,0.5291601
5/1/2007,2.1792,3.3815,7.896272727,0.78312665,0.890770259,0.505303091
5/2/2007,2.1672,3.4265,7.908272727,0.758960544,0.902624365,0.505615091
5/3/2007,2.2142,3.504,8.125272727,0.779903138,0.923039771,0.511257091
5/4/2007,2.0702,3.519,8.116272727,0.632185769,0.92699114,0.511023091
5/7/2007,2.0592,3.4015,7.957272727,0.656272159,0.89603875,0.506889091
5/8/2007,2.1388,3.3695,7.815272727,0.746617998,0.888984911,0.503197091
5/9/2007,2.1388,3.4045,7.898272727,0.735225847,0.898219062,0.505355091
5/10/2007,2.1788,3.2895,7.904272727,0.805410629,0.86787828,0.505511091
5/11/2007,2.1648,3.442,8.077272727,0.746678114,0.908112795,0.510009091
5/14/2007,2.2038,3.412,8.130272727,0.7922151,0.900197809,0.511387091
5/15/2007,2.1988,3.3815,8.042272727,0.790401574,0.899299335,0.509099091
5/16/2007,2.1768,3.4265,8.068272727,0.755757965,0.911266944,0.509775091
5/17/2007,2.1838,3.3965,8.253272727,0.765926371,0.903288538,0.514585091
5/18/2007,2.2168,3.379,8.122272727,0.806986441,0.898634468,0.511179091
5/21/2007,2.2188,3.4765,8.091272727,0.783862622,0.924564287,0.510373091
5/22/2007,2.127714286,3.409071429,7.979272727,0.701886833,0.918366362,0.507461091
5/23/2007,2.132714286,3.399071429,7.935272727,0.710724723,0.915672472,0.506317091
5/24/2007,2.152714286,3.479071429,7.859272727,0.711149602,0.937223593,0.504341091
5/25/2007,2.183714286,3.474071429,7.818272727,0.744562547,0.935876648,0.503275091
5/29/2007,2.207714286,3.361571429,7.769272727,0.80014281,0.905570384,0.502001091
5/30/2007,2.217714286,3.536571429,8.119272727,0.753899734,0.95271346,0.511101091
5/31/2007,2.167714286,3.616571429,8.113272727,0.682504614,0.974264581,0.510945091
6/1/2007,2.24445,3.59825,8.954333333,0.737213067,0.974424266,0.532812667
6/4/2007,2.21745,3.56825,9.267333333,0.710199219,0.966300114,0.540950667
6/5/2007,2.19445,3.53325,9.140333333,0.699979396,0.956821938,0.537648667
6/6/2007,2.06545,3.47825,9.156333333,0.585457673,0.94192766,0.538064667
6/7/2007,2.05945,3.57825,8.901333333,0.559007168,0.969008165,0.531434667
6/8/2007,2.134,3.5105,8.739333333,0.633165042,0.973612292,0.527222667
6/11/2007,2.14,3.6505,8.684333333,0.601767034,1.012440299,0.525792667
6/12/2007,2.14,3.6255,8.758333333,0.606776607,1.005506727,0.527716667
6/13/2007,2.188,3.7355,8.684333333,0.626192886,1.036014447,0.525792667
6/14/2007,2.263,3.7855,8.884333333,0.682125741,1.049881592,0.530992667
6/15/2007,2.1664,3.9855,8.994333333,0.511466931,1.121080403,0.533852667
6/18/2007,2.1154,3.9555,8.766333333,0.474833624,1.112641709,0.527924667
6/19/2007,2.0674,3.7555,8.595333333,0.487537579,1.056383754,0.523478667
6/20/2007,2.0694,3.738,8.467333333,0.49778815,1.051461183,0.520150667
6/21/2007,2.0864,3.6455,8.424333333,0.541925454,1.025441879,0.519032667
6/22/2007,2.063833333,3.740416667,8.206333333,0.505640414,1.044828253,0.513364667
6/25/2007,2.048833333,3.642916667,8.016333333,0.522815549,1.017593117,0.508424667
6/26/2007,2.022833333,3.630416667,7.953333333,0.501945233,1.014101433,0.506786667
6/27/2007,2.008833333,3.502916667,8.005333333,0.52220841,0.978486256,0.508138667
6/28/2007,2.038833333,3.460416667,7.731333333,0.571204136,0.966614531,0.501014667
6/29/2007,2.038833333,3.360416667,7.849333333,0.632453508,0.902297158,0.504082667
7/2/2007,2.0175,3.08,8.974904762,0.679647759,0.804504717,0.533347524
7/3/2007,2.0025,2.975,8.964904762,0.692334056,0.77707842,0.533087524
7/5/2007,2.0245,3.015,8.828904762,0.707421943,0.787526533,0.529551524
7/6/2007,1.9905,3.12,8.654904762,0.650519646,0.81495283,0.525027524
7/9/2007,1.9372,3.074,8.620904762,0.5974166,0.815639876,0.524143524
7/10/2007,1.9782,3.129,8.909904762,0.616309173,0.830233303,0.531657524
7/11/2007,1.9702,3.109,8.810904762,0.616189874,0.824926602,0.529083524
7/12/2007,1.9972,3.189,8.707904762,0.624641072,0.846153404,0.526405524
7/13/2007,2.0172,3.164,8.872904762,0.646984447,0.839520029,0.530695524
7/16/2007,1.9378,3.133,8.586904762,0.59022067,0.824319807,0.523259524
7/17/2007,1.9348,3.0105,8.517904762,0.621245495,0.792088981,0.521465524
7/18/2007,1.9548,3.0555,8.738904762,0.6236596,0.803928876,0.527211524
7/19/2007,1.9318,2.998,8.916904762,0.611160355,0.788800121,0.531839524
7/20/2007,1.9508,2.968,8.656904762,0.644813618,0.780906858,0.525079524
7/23/2007,1.956857143,2.7875,8.249904762,0.71858601,0.723773609,0.514497524
7/24/2007,1.933857143,2.8025,8.073904762,0.696267264,0.727668355,0.509921524
7/25/2007,1.963857143,2.8025,8.135904762,0.724655264,0.727668355,0.511533524
7/26/2007,1.972857143,2.8625,8.153904762,0.71760828,0.743247339,0.512001524
7/27/2007,1.957857143,2.8975,8.320904762,0.68917854,0.752335079,0.516343524
7/30/2007,1.918857143,2.9225,8.709904762,0.633573297,0.758826322,0.526457524
7/31/2007,1.980857143,2.945,8.401904762,0.697739178,0.764668441,0.518449524
8/1/2007,2.0248,2.902,8.094956522,0.749777679,0.764553451,0.51046887
8/2/2007,1.9998,2.952,7.848956522,0.718000808,0.777726323,0.50407287
8/3/2007,1.9898,2.977,7.832956522,0.701830372,0.784312758,0.50365687
8/6/2007,1.9068,2.9695,7.950956522,0.617738303,0.782336828,0.50672487
8/7/2007,1.9238,3.0645,7.943956522,0.609891847,0.807365283,0.50654287
8/8/2007,1.9342,3.164,7.962956522,0.581403847,0.845759283,0.50703687
8/9/2007,1.9252,3.0765,8.328956522,0.586277208,0.822369923,0.51655287
8/10/2007,1.9232,3.084,8.562956522,0.576188406,0.824374725,0.52263687
8/13/2007,1.9482,3.064,8.536956522,0.607210545,0.819028585,0.52196087
8/14/2007,1.9092,3.029,8.682956522,0.573770289,0.809672841,0.52575687
8/15/2007,1.9232,3.018,8.606956522,0.598876213,0.800542917,0.52378087
8/16/2007,1.8692,2.953,8.617956522,0.56183186,0.783301271,0.52406687
8/17/2007,1.8812,3.023,8.752956522,0.551753933,0.801869198,0.52757687
8/20/2007,1.7982,3.0555,7.782956522,0.485353109,0.810490021,0.50235687
8/21/2007,1.7932,3.123,7.559956522,0.468246323,0.828394808,0.49655887
8/22/2007,1.81525,3.2420625,7.320956522,0.457002646,0.867902484,0.49034487
8/23/2007,1.81425,3.2195625,7.364956522,0.460881913,0.861879218,0.49148887
8/24/2007,1.80825,3.1820625,7.265956522,0.46749469,0.851840441,0.48891487
8/27/2007,1.81625,3.1245625,7.122956522,0.494605481,0.836447649,0.48519687
8/28/2007,1.76925,3.0395625,7.335956522,0.464822043,0.813693087,0.49073487
8/29/2007,1.80625,2.9945625,7.172956522,0.53072074,0.78903239,0.48649687
8/30/2007,1.77725,2.9945625,7.377956522,0.49639074,0.78903239,0.49182687
8/31/2007,1.75725,3.0070625,7.210956522,0.477439136,0.792325995,0.48748487
9/4/2007,1.70475,3.123125,6.920210526,0.401917413,0.822907114,0.479925474
9/5/2007,1.69175,3.043125,7.096210526,0.405420482,0.801828044,0.484501474
9/6/2007,1.68175,2.988125,6.941210526,0.413942343,0.787336184,0.480471474
9/7/2007,1.58175,3.068125,6.792210526,0.296737273,0.808415253,0.476597474
9/10/2007,1.571,3.079,7.182210526,0.281910106,0.80235242,0.486737474
9/11/2007,1.606,3.0265,7.225210526,0.32947301,0.788671517,0.487855474
9/12/2007,1.601,3.179,7.729210526,0.271629242,0.828411284,0.500959474
9/13/2007,1.621,3.089,7.320210526,0.32571622,0.804958307,0.490325474
9/14/2007,1.621,3.1465,7.570210526,0.304232373,0.819942153,0.496825474
9/17/2007,1.5532,3.0565,7.944210526,0.250232734,0.796417792,0.506549474
9/18/2007,1.5482,3.0565,7.859210526,0.247442734,0.796417792,0.504339474
9/19/2007,1.5282,3.1165,7.471210526,0.221896817,0.812051709,0.494251474
9/20/2007,1.5372,3.2265,7.299210526,0.206706636,0.84071389,0.489779474
9/21/2007,1.5132,3.299,7.371210526,0.161943653,0.859604873,0.491651474
9/24/2007,1.5292,3.291,7.661210526,0.17329589,0.856712637,0.499191474
